Year,Min_Temp,Max_Temp,district_adilabad,district_bhadradri,district_hyderabad,district_jagtial,crop_bengal_gram,crop_groundnut,crop_maize,Total_Rainfall,Acre,Total_Yield
2016,12.34,42.66,1,0,0,0,1,0,0,1130.15,1.8,1551
2016,16.42,42.65,0,1,0,0,1,0,0,1145.008696,0.5,700
2016,17.52,41.88,0,0,1,0,1,0,0,885.48125,0.8,900
2016,12.84,43.34,0,0,0,1,1,0,0,960.3555556,2,1299
2017,12.69,41.62,1,0,0,0,1,0,0,848.3227778,2.5,1742
2017,15.89,41.41,0,1,0,0,1,0,0,908.6626087,3,1516
2017,17.67,39.85,0,0,1,0,1,0,0,774.113125,3,1300
2017,13.49,42.14,0,0,0,1,1,0,0,540.5316667,2,1516
2018,12.46,41.66,1,0,0,0,1,0,0,884.2918056,2.5,1858
2018,15.98,41.41,0,1,0,0,1,0,0,976.2786957,3,3000
2018,17.75,39.8,0,0,1,0,1,0,0,635.1501563,5,4000
2018,13.81,42.12,0,0,0,1,1,0,0,695.97875,2,1569
2016,12.34,42.66,1,0,0,0,0,1,0,1130.15,1.5,1569
2016,16.42,42.65,0,1,0,0,0,1,0,1145.008696,1.5,1569
2016,17.52,41.88,0,0,1,0,0,1,0,885.48125,1,411
2016,12.84,43.34,0,0,0,1,0,1,0,960.3555556,3,1617
2017,12.69,41.62,1,0,0,0,0,1,0,848.3227778,2,1516
2017,15.89,41.41,0,1,0,0,0,1,0,908.6626087,4,2151
2017,17.67,39.85,0,0,1,0,0,1,0,774.113125,6,2025
2017,13.49,42.14,0,0,0,1,0,1,0,540.5316667,4,2068
2018,12.46,41.66,1,0,0,0,0,1,0,884.2918056,4,1769
2018,15.98,41.41,0,1,0,0,0,1,0,976.2786957,6,1792
2018,17.75,39.8,0,0,1,0,0,1,0,635.1501563,4,2363
2018,13.81,42.12,0,0,0,1,0,1,0,695.97875,3,2236
2016,12.34,42.66,1,0,0,0,0,0,1,1130.15,2.5,1583
2016,16.42,42.65,0,1,0,0,0,0,1,1145.008696,3,2141
2016,17.52,41.88,0,0,1,0,0,0,1,885.48125,1.2,2480
2016,12.84,43.34,0,0,0,1,0,0,1,960.3555556,2,2489
2017,12.69,41.62,1,0,0,0,0,0,1,848.3227778,5,4766
2017,15.89,41.41,0,1,0,0,0,0,1,908.6626087,2,5103
2017,17.67,39.85,0,0,1,0,0,0,1,774.113125,6,1950
2017,13.49,42.14,0,0,0,1,0,0,1,540.5316667,2,4916
2018,12.46,41.66,1,0,0,0,0,0,1,884.2918056,2,5068
2018,15.98,41.41,0,1,0,0,0,0,1,976.2786957,3,9023
2018,17.75,39.8,0,0,1,0,0,0,1,635.1501563,2.7,5263
2018,13.81,42.12,0,0,0,1,0,0,1,695.97875,4,5300
